ID,addr_o
45263552000_file8,"Москва, Улица Краснобогатырская, 9"
45263552000_file8,"Москва, Улица Краснобогатырская, 11"
45263552000_file8,"Москва, Улица 3-я Богатырская, 1"
45263552000_file8,"Москва, Улица 3-я Богатырская, 1"
45263552000_file8,"Москва, Улица 3-я Богатырская, 3"
45263552000_file8,"Москва, Улица 3-я Богатырская, 5"
45263552000_file8,"Москва, Улица 3-я Богатырская, 14"
45263552000_file8,"Москва, Улица 3-я Богатырская, 21"
45263552000_file8,"Москва, Улица Миллионная, 11 (к. 1-3)"
45263552000_file9,"Москва, Улица Краснобогатырская, 2"
45263552000_file9,"Москва, Улица Краснобогатырская, 4"
45263552000_file9,"Москва, Улица Краснобогатырская, 13"
45263552000_file9,"Москва, Улица Краснобогатырская, 13"
45263552000_file9,"Москва, Улица Краснобогатырская, 17"
45263552000_file9,"Москва, Переулок 2-й Богатырский, 5"
45263552000_file9,"Москва, Улица Кузнецовская, 7"
45263552000_file9,"Москва, Улица Миллионная, 15 (к. 1-3)"
45263552000_file9,"Москва, Улица Миллионная, 1"
45263552000_file9,"Москва, Улица Миллионная, 3"
45263552000_file9,"Москва, Улица Миллионная, 5"
45263552000_file9,"Москва, Улица Миллионная, 5"
45263552000_file9,"Москва, Улица Миллионная, 7"
45263552000_file9,"Москва, Улица Миллионная, 6"
45263552000_file9,"Москва, Улица Миллионная, 8 (к. 1-3)"
45263552000_file9,"Москва, Улица Миллионная, 10"
45263552000_file9,"Москва, Улица Миллионная, 10"
45263552000_file9,"Москва, Улица Миллионная, 12"
45263552000_file9,"Москва, Улица Миллионная, 14"
45263552000_file10,"Москва, Улица Погонный, 1 (к. 1-11)"
45263552000_file10,"Москва, Улица Погонный, 3 (к. 1-3)"
45263552000_file10,"Москва, Улица Погонный, 5"
45263552000_file10,"Москва, Аллея Яузская, 1"
45263552000_file10,"Москва, Аллея Яузская, 2"
45263552000_file10,"Москва, Аллея Яузская, 4"
45263552000_file10,"Москва, Аллея Яузская, 6"
45263552000_file10,"Москва, Улица Краснобогатырская, 19 (к. 1, 2)"
45263552000_file10,"Москва, Улица Краснобогатырская, 21"
45263552000_file10,"Москва, Улица 2-я Гражданская, 8"
45263552000_file10,"Москва, Улица Лосиноостровская, 2"
45263552000_file10,"Москва, Шоссе Белокаменное, 2"
45263552000_file10,"Москва, Улица 1-я Белокаменный, 2"
45263552000_file10,"Москва, Улица 1-я Белокаменный, 2"
45263552000_file11,"Москва, Улица Малая Черкизовская, 64"
45263552000_file11,"Москва, Улица Малая Черкизовская, 66"
45263552000_file11,"Москва, Улица 4-я Гражданская, 32"
45263552000_file11,"Москва, Улица 4-я Гражданская, 34 (к. 1-3)"
45263552000_file11,"Москва, Улица 4-я Гражданская, 37 (к. 1, 2)"
45263552000_file11,"Москва, Улица 4-я Гражданская, 39 (к. 1-7)"
45263552000_file11,"Москва, Улица Бойцовая, 2"
45263552000_file11,"Москва, Улица Бойцовая, 30"
45263552000_file11,"Москва, Улица Бойцовая, 4"
45263552000_file11,"Москва, Улица Бойцовая, 37 (к. 2-5)"
45263552000_file11,"Москва, Улица Бойцовая, 22 (к. 2, 6)"
45263552000_file11,"Москва, Улица Бойцовая, 22"
45263552000_file11,"Москва, Улица Бойцовая, 3"
45263552000_file11,"Москва, Улица Бойцовая, 24"
45263552000_file11,"Москва, Улица Бойцовая, 1"
45263552000_file12,"Москва, Улица Бойцовая, 22"
45263552000_file12,"Москва, Улица Бойцовая, 4"
45263552000_file12,"Москва, Улица Бойцовая, 24 (к. 4, 5,)"
45263552000_file12,"Москва, Улица Бойцовая, 6"
45263552000_file12,"Москва, Улица Бойцовая, 1"
45263552000_file12,"Москва, Улица Бойцовая, 6"
45263552000_file12,"Москва, Улица Бойцовая, 8"
45263552000_file12,"Москва, Улица Бойцовая, 10 (к. 1-9)"
45263552000_file12,"Москва, Улица Бойцовая, 14"
45263552000_file12,"Москва, Улица Бойцовая, 1"
45263552000_file12,"Москва, Улица Бойцовая, 10"
45263552000_file12,"Москва, Улица Бойцовая, 16"
45263552000_file12,"Москва, Улица Бойцовая, 6"
45263552000_file12,"Москва, Улица Бойцовая, 8"
45263552000_file12,"Москва, Улица Бойцовая, 6"
45263552000_file12,"Москва, Улица Бойцовая, 8"
45263552000_file13,"Москва, Улица Бойцовая, 18 (к. 2-14)"
45263552000_file13,"Москва, Улица Бойцовая, 18"
45263552000_file13,"Москва, Улица Бойцовая, 17"
45263552000_file13,"Москва, Улица Бойцовая, 20"
45263552000_file13,"Москва, Улица Бойцовая, 22 (к. 1, 5)"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 9"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 10"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 11"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 12"
